word1	word2	similarity
skandaløs	uanstændig	0.676923076923077
radikal	yderlig	0.8153846153846154
svær	vanskelig	0.9621621621621622
kedelig	interessant	0.025641025641025633
kort	lang	0.03447293447293448
vigtig	afgørende	0.7846153846153846
vred	utålmodig	0.2923076923076923
stor	massiv	0.6410256410256411
skadelig	harmløs	0.0
sen	tidlig	0.005128205128205122
smuk	forrygende	0.3384615384615385
mærkelig	unormal	0.7641025641025642
speciel	særlig	0.9435897435897436
dygtig	kompetent	0.9179487179487179
klog	intelligent	0.9025641025641026
traditionel	kulturel	0.2923076923076923
speciel	sjælden	0.7384615384615385
glad	positiv	0.7487179487179487
normal	typisk	0.8256410256410257
misbruge	krænke	0.7025641025641026
undersøge	kortlægge	0.7897435897435897
investere	spare	0.21538461538461534
lære	lytte	0.3025641025641026
ånde	kvæle	0.04102564102564102
dræbe	forsvare	0.08717948717948716
udvikle	opfinde	0.7282051282051283
udtrykke	spørge	0.3025641025641026
erstatte	opbevare	0.005128205128205122
forstå	vide	0.5384615384615384
skabe	udnytte	0.08717948717948716
vokse	udvide	0.7076923076923077
udrette	opnå	0.8051282051282052
køre	gå	0.2615384615384615
anbringe	bevæge	0.09230769230769231
glemme	ignorere	0.2923076923076923
begynde	afslutte	0.04615384615384614
overbevise	forklare	0.4717948717948718
analysere	sammenligne	0.49743589743589745
ødelægge	genopbygge	0.04615384615384614
afskære	hindre	0.7025641025641026
argumentere	bevise	0.6564102564102563
forsvinde	opstå	0.025641025641025633
vælge	overveje	0.3564795564795565
eksplodere	buldre	0.31282051282051276
sky	vejr	0.23076923076923075
depression	diagnose	0.2615384615384615
glæde	stolthed	0.4565488565488566
pistol	chok	0.015384615384615389
stol	møbel	0.3948717948717949
tid	minut	0.37435897435897436
befrugtning	adoption	0.13333333333333333
rytme	melodi	0.41025641025641024
tortur	smerte	0.4461538461538462
vand	salt	0.07692307692307693
formand	direktør	0.6153846153846154
morgen	dagslys	0.3794871794871795
parti	medlem	0.19999999999999996
gulv	loft	0.1076923076923077
ideologi	religion	0.48717948717948717
diplomat	filosof	0.04102564102564102
tennis	badminton	0.3354123354123354
svovl	kemi	0.24615384615384614
bil	sæde	0.19999999999999996
rollemodel	forbillede	1.0
klaver	guitar	0.33333333333333337
penge	løn	0.4666666666666667
situation	omstændighed	0.8358974358974359
kærlighed	venskab	0.5618849618849618
pris	million	0.17435897435897435
solskin	sommer	0.36923076923076925
liste	optegnelse	0.8205128205128205
mål	resultat	0.6410256410256411
kontrakt	aftale	0.8717948717948718
infektion	sygdom	0.6153846153846154
intelligens	logik	0.4153846153846154
problem	dilemma	0.7076923076923077
taktik	fremgangsmåde	0.7692307692307693
opsigelse	afslag	0.2615384615384615
land	by	0.15897435897435896
ris	bønne	0.22051282051282053
politi	kommission	0.07692307692307693
spil	strategi	0.3025641025641026
vogn	lastbil	0.46153846153846156
hus	lejlighed	0.41025641025641024
sjov	fodbold	0.061538461538461535
kommunisme	revolution	0.18974358974358974
forretning	iværksætter	0.2512820512820512
bi	insekt	0.3435897435897436
mulighed	begrænsning	0.10256410256410256
sprog	kommunikation	0.5282051282051282
kvinde	dronning	0.2769230769230769
kaffe	kop	0.19999999999999996
hund	kat	0.21538461538461534
bog	historie	0.317948717948718
formodning	antagelse	0.9641025641025641
godkendelse	bevilling	0.7538461538461538
politik	demokrati	0.41025641025641024
dyr	menneske	0.2871794871794872
forbrænding	skade	0.3435897435897436
